123,Sgi Gray 36,Royalblue 4,Sgi Darkgray,Lightyellow 3,Gray 25,Sgi Lightblue
124,Lightyellow 3,Brick,Gray 20,Midnightblue,Gray 15,Cobalt
125,Powderblue,Darkslategray,Khaki 4,Skyblue,Sgi Salmon,Banana
126,Gray 65,Gray 70,Lavenderblush 3,Gray 90,Ivoryblack,Gray 10
127,Ivoryblack,Lemonchiffon 3,Lightskyblue 3,Peru,Darkslategray,Pink 4
128,Gray 45,Antiquewhite 3,Sgi Gray 56,Sgi Gray 76,Gray 50,Gray 30
129,Azure 3,Ivoryblack,Gray 65,Lightyellow 3,Dimgray 1,Lemonchiffon 4
130,Gray 75,Gray 75,Mistyrose 3,Lightpink 3,Gray 25,Black
131,Lightsalmon 4,Lemonchiffon 3,Darkkhaki,Ivoryblack,Ivoryblack,Antiquewhite
132,Lightgrey,Burlywood 4,Ivoryblack,Gray 70,Gray 25,Lavenderblush 3
133,Gainsboro,Gainsboro,Sepia,Peachpuff 3,Darkolivegreen 4,Maroon 4
134,Deepskyblue 3,Deepskyblue 4,Midnightblue,Melon,Tan 4,Mistyrose 3
135,Sgi Lightgray,Gray 20,Peachpuff 3,Gray 95,Gray 65,Ivoryblack
136,Darkgray,Bisque 3,Gray 95,Ivoryblack,Gray 20,Darkolivegreen
137,Goldenrod 3,Ivoryblack,Lightyellow 3,Rawsienna,Gray 85,Navajowhite 4
138,Gray 75,Sgi Gray 16,Gray 15,Ivory 3,Gray 20,Gray 20
139,Banana,Darkolivegreen,Ivoryblack,Sgi Gray 16,Dimgray 1,Antiquewhite 2
140,Burlywood 4,Lightyellow 2,Sepia,Palegoldenrod,Gray 95,Bisque 3
141,Gray 50,Lightsteelblue 2,Sgi Lightblue,Sgi Gray 16,Gray 10,Sepia
142,Snow 1,Darkseagreen 4,Gray 20,Gray 25,Gray 30,Gainsboro
143,Lemonchiffon 3,Pink 3,Gray 85,Firebrick 4,Gray 20,Sepia
144,Chocolate 3,Lightsalmon 3,Sepia,Bisque 2,Lightgrey,Brown 4
145,Sgi Brightgray,Rosybrown,Sepia,Darkolivegreen 4,Gray 35,Ivoryblack
146,Gray 80,Darkslategray,Gray 30,Wheat 4,Gray 60,Mistyrose 3
147,Gray 25,Gray 40,Sgi Gray 56,Lightsteelblue,Gray 30,Snow 3
148,Gray 30,Lavenderblush 2,Plum 3,Gray 10,Gray 30,Mediumpurple 4
149,Sepia,Chocolate,Lightsalmon 4,Navajowhite 3,Darkolivegreen,Navajowhite 4
150,Ivoryblack,Gray 25,Wheat 3,Khaki 4,Sgi Gray 16,Darkolivegreen
151,Brown,Seashell 3,Sienna,Maroon 5,Gray 70,Sgi Gray 56
152,Sgi Lightblue,Sgi Gray 16,Gray 35,Burlywood 4,Gray 20,Gray 20
153,Gray 10,Orangered 3,Orangered 4,Sepia,Gray 5,Bisque 2
154,Ivory 2,Darkolivegreen 4,Salmon 2,Mistyrose 2,Gray 90,Burlywood
155,Ivoryblack,Sepia,Indianred,Peachpuff 2,Gray 30,Coral 3
156,Lightyellow 4,Darkolivegreen,Peachpuff 3,Lightgrey,Sgi Lightgray,Burlywood 4
157,Mintcream,Mediumpurple 3,Darksalmon,Sgi Slateblue,Gray 99,Darkslateblue
158,Sgi Gray 16,Sgi Gray 16,Gray 25,Lightsalmon 3,Gray 25,Gray 15
159,Sgi Gray 76,Gray 65,Gray 95,Snow 3,Sgi Gray 36,Gainsboro
160,Darkkhaki,Darkolivegreen,Lightsteelblue 3,Gray 20,Gray 70,Wheat 3
161,Gray 85,Gray 85,Gray 60,Gainsboro,Sgi Lightblue,Azure 2
162,Ivoryblack,Seashell 2,Lightgrey,Lightsalmon 3,Sgi Gray 36,Tan 4
163,Salmon 4,Lightsalmon 3,Lightgrey,Ivoryblack,Sgi Darkgray,Bisque 3
164,Darkolivegreen,Gray 20,Antiquewhite 2,Sienna 4,Burlywood 3,Darkseagreen
165,Gray 20,Lemonchiffon 3,Lightsalmon 4,Lightgrey,Lightgrey,Gray 10
166,Warmgrey,Ivoryblack,Lightgrey,Ivory 3,Gray 25,Gray 45
167,Salmon 4,Burlywood 3,Gray 20,Cornsilk 3,Sgi Gray 36,Burlywood 4
168,Navajowhite 3,Sapgreen,Sepia,Sgi Olivedrab,Gray 45,Ivoryblack
169,Honeydew 2,Darkseagreen,Burlywood 4,Ivory 3,Gray 20,Lavenderblush 2
170,Gray 95,Antiquewhite 3,White Smoke 2,Ivory 2,Burntumber,Thistle
171,Gray 99,Azure 2,Gray 85,Lightsteelblue 3,Sgi Darkgray,Sgi Gray 76
172,Gray 25,Gray 65,Gray 45,Gray 60,Gray 70,Gray 70
173,Azure 2,Ivory 3,Gainsboro,Darkgoldenrod 2,Gray 99,Bisque 3
174,Ivoryblack,Lightsalmon 4,Bisque 3,Burlywood 4,Gray 25,Rosybrown
175,Lightpink 3,Sgi Gray 16,Ivoryblack,Pink 4,Cornsilk 1,Indianred
176,Gray 90,Lavenderblush 2,Gray 20,Cobaltgreen,Gray 10,Salmon 4
177,Lightsalmon 4,Gray 10,Seashell 3,Darkolivegreen,Rosybrown 3,Rosybrown
178,Salmon 4,Mediumpurple 4,Lightslategray,Gray 20,Gray 45,Thistle 3
179,Lightgrey,Darkseagreen,Gainsboro,Gray 99,Gray 20,Lightgrey
180,White 1,Sepia,Gainsboro,Seashell 2,Gray 30,Lightsalmon 4
181,Lightgrey,Antiquewhite 3,Gray 50,Gray 75,Sgi Lightgray,Sgi Gray 76
182,Gray 99,Burlywood 3,Sgi Gray 36,Gray 25,Lightsteelblue 4,Ivoryblack
183,Gray 30,Gray 85,Gray 25,Bisque 3,Sgi Gray 36,Ivory 3
184,Salmon 3,Seashell 2,Darkolivegreen,Sandybrown,Darkseagreen,Bisque 3
185,Ivory 3,Gainsboro,Thistle 4,Sgi Gray 36,Gray 65,Sgi Gray 16
186,Paleturquoise 1,Darkslategray,Paleturquoise 2,Antiquewhite 2,Burntumber,Darkslategray 3
187,Darkseagreen 3,Palevioletred 4,Peru,Palevioletred,Lightblue 4,Gray 60
188,Royalblue 4,Darkolivegreen,Midnightblue,Purple 3,Gray 1,Gray 5
189,Lightsalmon 4,Cadetblue,Antiquewhite 2,Gray 25,Lightseagreen,Wheat 4
190,Gray 30,Gray 10,Rosybrown,Ivoryblack,Mintcream,Ivory 3
191,Tan 4,Bisque 2,Beige,Lightgoldenrod 4,Sepia,Darkkhaki
192,Lightgrey,Burlywood 3,Azure 3,Tan 4,Darkseagreen 4,Mistyrose 2
193,Palevioletred 1,Gray 25,Gainsboro,Darkkhaki,Sepia,Gray 15
194,Lightpink 4,Ivory 3,Sgi Lightblue,Antiquewhite 4,Ivoryblack,Midnightblue
195,Ivoryblack,Burlywood 4,Gray 40,Gray 45,Ivoryblack,Rosybrown
196,Ghostwhite,Mistyrose 2,Linen,Gray 99,Sepia,Peachpuff 2
197,Lavenderblush 2,Gray 95,Lightpink 2,Burntumber,Coral 4,Sgi Gray 96
198,Antiquewhite 3,Wheat 4,Palevioletred 4,Sgi Gray 36,Gainsboro,Gray 20
199,Peru,Burlywood,Darkolivegreen,Sepia,Gray 5,Lightyellow 3
200,Lemonchiffon 4,Darkolivegreen,Lightsalmon 4,Sgi Brightgray,Gray 75,Sgi Brightgray
201,Gray 60,Antiquewhite 3,Snow 2,Lightsalmon 4,Gray 5,Gray 20
202,Gray 25,Rosybrown,Ivoryblack,Darkslategray,Pink 4,Slategray 3
203,Dimgray 1,Chocolate,Sepia,Seashell 2,Gray 40,Seashell 4
